Resolution,Eye_Setting,Light_Setting,Transform_ms,Binning_ms,Raster_ms,Total_ms
16,0_1_3,0_1_1,0.960096,0.157696,15.7073,16.8251
16,0_1_3,0_1_1,0.930272,0.147456,15.4281,16.5058
16,0_1_3,0_1_1,0.917312,0.145632,15.4139,16.4768
16,0_1_3,0_1_1,0.9192,0.144256,15.2582,16.3216
16,0_1_3,0_1_1,0.930016,0.14608,15.4073,16.4834
16,0_1_3,0_1_1,0.935488,0.147904,15.3596,16.4429
16,0_1_3,0_1_1,0.927424,0.144992,15.4433,16.5157
16,0_1_3,0_1_1,0.957088,0.15632,15.1978,16.3112
16,0_1_3,0_1_1,0.938432,0.14176,15.2457,16.3259
16,0_1_3,0_1_1,0.935584,0.14576,15.2339,16.3152
16,0_1_3,1_0_0,0.932608,0.144896,15.4382,16.5157
16,0_1_3,1_0_0,0.934272,0.151616,15.484,16.5699
16,0_1_3,1_0_0,0.913472,0.153952,15.278,16.3454
16,0_1_3,1_0_0,0.915456,0.143744,15.5157,16.5749
16,0_1_3,1_0_0,0.935136,0.144896,15.4108,16.4908
16,0_1_3,1_0_0,0.928,0.144832,15.4503,16.5231
16,0_1_3,1_0_0,0.941696,0.144704,15.2094,16.2958
16,0_1_3,1_0_0,0.928192,0.141888,15.4608,16.5309
16,0_1_3,1_0_0,0.934112,0.142688,15.4074,16.4842
16,0_1_3,1_0_0,0.923712,0.14432,15.1358,16.2038
16,0_1_3,-1_0_0,0.914528,0.144256,15.4577,16.5164
16,0_1_3,-1_0_0,0.897984,0.170336,22.2272,23.2956
16,0_1_3,-1_0_0,0.892064,0.176352,21.9899,23.0583
16,0_1_3,-1_0_0,0.888384,0.170176,22.6545,23.7131
16,0_1_3,-1_0_0,0.884672,0.176992,22.7404,23.8021
16,0_1_3,-1_0_0,0.888448,0.17616,22.9461,24.0108
16,0_1_3,-1_0_0,0.888832,0.172128,23.157,24.218
16,0_1_3,-1_0_0,0.90256,0.175488,22.7729,23.851
16,0_1_3,-1_0_0,0.900416,0.178592,23.8882,24.9672
16,0_1_3,-1_0_0,0.892736,0.182272,23.9085,24.9835
16,0_1_3,0_1_0,0.895968,0.1784,24.4872,25.5616
16,0_1_3,0_1_0,0.89824,0.180224,24.722,25.8004
16,0_1_3,0_1_0,0.890816,0.181216,24.455,25.527
16,0_1_3,0_1_0,0.898656,0.183616,25.0686,26.1509
16,0_1_3,0_1_0,0.898848,0.189664,24.9335,26.022
16,0_1_3,0_1_0,0.888896,0.1904,25.9054,26.9847
