Resolution,Eye_Setting,Light_Setting,Transform_ms,Binning_ms,Raster_ms,Total_ms
16,0_1_3,0_1_1,0.936448,0.152224,17.5349,18.6236
16,0_1_3,0_1_1,0.935104,0.14928,17.5918,18.6762
16,0_1_3,0_1_1,0.918208,0.1448,17.351,18.414
16,0_1_3,0_1_1,0.9144,0.148608,17.4947,18.5577
16,0_1_3,0_1_1,0.925344,0.144544,17.6036,18.6735
16,0_1_3,0_1_1,0.930272,0.1528,17.6001,18.6832
16,0_1_3,0_1_1,0.909408,0.144672,17.538,18.592
16,0_1_3,0_1_1,0.94576,0.142112,17.5601,18.6479
16,0_1_3,0_1_1,0.918752,0.144864,17.3317,18.3954
16,0_1_3,0_1_1,0.918016,0.1416,17.653,18.7126
16,0_1_3,1_0_0,0.930848,0.14304,17.6213,18.6952
16,0_1_3,1_0_0,0.941888,0.145408,17.7877,18.875
16,0_1_3,1_0_0,0.942688,0.145312,17.5053,18.5933
16,0_1_3,1_0_0,0.913024,0.145408,17.2563,18.3148
16,0_1_3,1_0_0,0.937216,0.147712,17.3605,18.4454
16,0_1_3,1_0_0,0.926816,0.14272,17.5586,18.6281
16,0_1_3,1_0_0,0.919872,0.141248,17.659,18.7201
16,0_1_3,1_0_0,0.926976,0.143584,17.4294,18.5
16,0_1_3,1_0_0,0.943616,0.144064,17.4235,18.5112
16,0_1_3,1_0_0,0.956512,0.149056,17.8291,18.9346
16,0_1_3,-1_0_0,0.932608,0.167936,17.87,18.9706
16,0_1_3,-1_0_0,0.904704,0.169984,24.3309,25.4056
16,0_1_3,-1_0_0,0.913952,0.187776,23.6186,24.7203
16,0_1_3,-1_0_0,0.91136,0.182304,24.9017,25.9954
16,0_1_3,-1_0_0,0.917792,0.180928,24.4666,25.5653
16,0_1_3,-1_0_0,0.894976,0.174272,25.4205,26.4898
16,0_1_3,-1_0_0,0.899744,0.174112,25.2,26.2738
16,0_1_3,-1_0_0,0.923424,0.191552,27.0527,28.1677
16,0_1_3,-1_0_0,0.932608,0.1784,26.5515,27.6625
16,0_1_3,-1_0_0,0.90192,0.184672,26.9495,28.0361
16,0_1_3,0_1_0,0.887424,0.17808,26.3363,27.4018
16,0_1_3,0_1_0,0.89536,0.176672,27.1777,28.2497
16,0_1_3,0_1_0,0.922592,0.19664,27.6645,28.7837
16,0_1_3,0_1_0,0.924416,0.204928,28.5746,29.7039
16,0_1_3,0_1_0,0.901824,0.186944,28.4125,29.5013
16,0_1_3,0_1_0,0.899424,0.180224,28.2349,29.3145
16,0_1_3,0_1_0,0.915456,0.190496,28.5676,29.6735
16,0_1_3,0_1_0,0.928608,0.200704,29.591,30.7203
16,0_1_3,0_1_0,0.93152,0.19936,29.4618,30.5927
16,0_1_3,0_1_0,0.92016,0.19968,30.43,31.5498
16,-3_1_0,0_1_1,0.908928,0.192864,32.2711,33.3729
16,-3_1_0,0_1_1,0.93232,0.193088,33.3731,34.4985
16,-3_1_0,0_1_1,0.952288,0.202848,32.6159,33.771
16,-3_1_0,0_1_1,0.944128,0.2048,34.0649,35.2138
16,-3_1_0,0_1_1,0.909568,0.198624,33.1015,34.2097
16,-3_1_0,0_1_1,0.897728,0.19312,32.0683,33.1592
16,-3_1_0,0_1_1,0.898368,0.185856,32.67,33.7542
16,-3_1_0,0_1_1,0.906144,0.194752,33.6852,34.786
16,-3_1_0,0_1_1,0.898688,0.1904,32.7219,33.811
16,-3_1_0,0_1_1,0.927552,0.197184,33.9463,35.071
16,-3_1_0,1_0_0,0.90288,0.193856,34.5495,35.6462
16,-3_1_0,1_0_0,0.912096,0.191232,34.3591,35.4625
16,-3_1_0,1_0_0,0.893728,0.194624,34.4,35.4884
16,-3_1_0,1_0_0,0.913824,0.202176,34.8117,35.9277
16,-3_1_0,1_0_0,0.899264,0.19984,36.5637,37.6628
16,-3_1_0,1_0_0,0.894432,0.192096,35.4096,36.4961
16,-3_1_0,1_0_0,0.909024,0.192896,35.8401,36.942
16,-3_1_0,1_0_0,0.900512,0.19456,34.5712,35.6663
16,-3_1_0,1_0_0,0.90848,0.204736,35.4484,36.5616
16,-3_1_0,1_0_0,0.910112,0.19504,34.8188,35.924
16,-3_1_0,-1_0_0,0.908896,0.1936,35.0287,36.1312
16,-3_1_0,-1_0_0,0.898368,0.194592,35.4874,36.5804
16,-3_1_0,-1_0_0,0.904288,0.202752,35.5641,36.6711
16,-3_1_0,-1_0_0,0.893984,0.197344,36.4038,37.4951
16,-3_1_0,-1_0_0,0.896192,0.195264,36.3792,37.4707
16,-3_1_0,-1_0_0,0.90272,0.194464,35.8693,36.9665
16,-3_1_0,-1_0_0,0.910528,0.195104,36.1757,37.2813
16,-3_1_0,-1_0_0,0.926368,0.198048,36.0187,37.1431
16,-3_1_0,-1_0_0,0.902784,0.199008,35.5663,36.6681
16,-3_1_0,-1_0_0,0.903616,0.198624,36.0377,37.1399
16,-3_1_0,0_1_0,0.904288,0.1984,36.1566,37.2593
16,-3_1_0,0_1_0,0.895008,0.197184,36.7033,37.7955
16,-3_1_0,0_1_0,0.9016,0.1992,36.4093,37.5101
16,-3_1_0,0_1_0,0.91632,0.199392,35.6703,36.786
16,-3_1_0,0_1_0,0.90976,0.204832,37.4593,38.5739
16,-3_1_0,0_1_0,0.915616,0.200096,36.8764,37.9921
16,-3_1_0,0_1_0,0.902656,0.196576,37.7793,38.8786
16,-3_1_0,0_1_0,0.909856,0.197024,37.3889,38.4957
16,-3_1_0,0_1_0,0.903904,0.2,37.295,38.3989
16,-3_1_0,0_1_0,0.9088,0.198656,37.7108,38.8182
16,3_1_0,0_1_1,0.89936,0.200704,34.4616,35.5617
16,3_1_0,0_1_1,0.903584,0.200192,34.2104,35.3142
16,3_1_0,0_1_1,0.902368,0.19888,33.9975,35.0987
16,3_1_0,0_1_1,0.913888,0.19712,34.7985,35.9095
16,3_1_0,0_1_1,0.915456,0.211808,35.0977,36.225
16,3_1_0,0_1_1,0.91184,0.2048,35.0036,36.1203
16,3_1_0,0_1_1,0.911104,0.202688,35.4016,36.5154
16,3_1_0,0_1_1,0.919936,0.201952,35.5727,36.6946
16,3_1_0,0_1_1,0.910624,0.2048,35.6349,36.7503
16,3_1_0,0_1_1,0.917856,0.210944,35.9156,37.0444
16,3_1_0,1_0_0,0.924384,0.211488,36.6739,37.8098
16,3_1_0,1_0_0,0.910816,0.206816,35.8529,36.9706
16,3_1_0,1_0_0,0.921792,0.205376,36.8312,37.9584
16,3_1_0,1_0_0,0.918464,0.209376,36.867,37.9949
16,3_1_0,1_0_0,0.920384,0.213568,36.9011,38.035
16,3_1_0,1_0_0,0.914944,0.207072,37.2274,38.3494
16,3_1_0,1_0_0,0.915904,0.211168,36.6998,37.8269
16,3_1_0,1_0_0,0.920768,0.208864,36.3893,37.519
16,3_1_0,1_0_0,0.922752,0.211648,36.7001,37.8345
16,3_1_0,1_0_0,0.909632,0.209312,36.9994,38.1184
16,3_1_0,-1_0_0,0.907328,0.210944,37.1742,38.2925
16,3_1_0,-1_0_0,0.920832,0.20464,36.3695,37.4949
16,3_1_0,-1_0_0,0.908192,0.206816,36.7504,37.8654
16,3_1_0,-1_0_0,0.920192,0.2064,37.0466,38.1731
16,3_1_0,-1_0_0,0.923392,0.21936,37.4054,38.5482
16,3_1_0,-1_0_0,0.937888,0.215296,37.6094,38.7626
16,3_1_0,-1_0_0,0.916448,0.217088,37.4336,38.5671
16,3_1_0,-1_0_0,0.927136,0.21728,37.5697,38.7141
16,3_1_0,-1_0_0,0.95024,0.225248,37.7608,38.9363
16,3_1_0,-1_0_0,0.925024,0.236032,37.9937,39.1547
16,3_1_0,0_1_0,0.916736,0.210944,37.7263,38.854
16,3_1_0,0_1_0,0.92064,0.210752,37.5986,38.73
16,3_1_0,0_1_0,0.932928,0.217056,38.0153,39.1652
16,3_1_0,0_1_0,0.9224,0.213856,38.1777,39.3139
16,3_1_0,0_1_0,0.925216,0.212992,38.8932,40.0314
16,3_1_0,0_1_0,0.92752,0.219136,38.6827,39.8293
16,3_1_0,0_1_0,0.93312,0.219104,37.7689,38.9211
16,3_1_0,0_1_0,0.934432,0.219168,38.9626,40.1162
16,3_1_0,0_1_0,0.935104,0.220832,38.4994,39.6554
16,3_1_0,0_1_0,0.931904,0.220416,38.2877,39.44
16,0_4_0,0_1_1,0.937056,0.208192,62.9827,64.128
16,0_4_0,0_1_1,0.950016,0.21072,63.1771,64.3379
16,0_4_0,0_1_1,0.894336,0.180224,46.2836,47.3582
16,0_4_0,0_1_1,0.896704,0.172,45.8652,46.9339
16,0_4_0,0_1_1,0.900128,0.165024,41.3438,42.409
