Resolution,Eye_Setting,Light_Setting,Transform_ms,Binning_ms,Raster_ms,Total_ms
16,0_1_3,0_1_1,0.927968,0.155648,16.3829,17.4665
16,0_1_3,0_1_1,0.944576,0.144704,16.3489,17.4382
16,0_1_3,0_1_1,0.932576,0.143232,16.4992,17.575
16,0_1_3,0_1_1,0.925856,0.144416,16.5544,17.6247
16,0_1_3,0_1_1,0.93824,0.143232,16.405,17.4864
16,0_1_3,0_1_1,0.891072,0.145856,16.5403,17.5772
16,0_1_3,0_1_1,0.912576,0.144704,16.386,17.4433
16,0_1_3,0_1_1,0.900192,0.141056,16.3707,17.412
16,0_1_3,0_1_1,0.938944,0.14544,16.5074,17.5918
16,0_1_3,0_1_1,0.93024,0.143712,16.4459,17.5198
16,0_1_3,1_0_0,0.939008,0.14368,16.4388,17.5215
16,0_1_3,1_0_0,0.891968,0.146592,16.5621,17.6006
16,0_1_3,1_0_0,0.939488,0.143616,16.3827,17.4658
16,0_1_3,1_0_0,0.921472,0.143488,16.4908,17.5557
16,0_1_3,1_0_0,0.904672,0.143584,16.449,17.4973
16,0_1_3,1_0_0,0.913248,0.14512,16.4143,17.4726
16,0_1_3,1_0_0,0.952448,0.141952,16.3971,17.4915
16,0_1_3,1_0_0,0.931008,0.144608,16.4504,17.526
16,0_1_3,1_0_0,0.913568,0.14352,16.3435,17.4006
16,0_1_3,1_0_0,0.926432,0.151296,16.3443,17.422
16,0_1_3,-1_0_0,0.920576,0.145408,16.4909,17.5569
16,0_1_3,-1_0_0,0.922784,0.145984,16.5231,17.5919
16,0_1_3,-1_0_0,0.882784,0.165888,22.9102,23.9589
16,0_1_3,-1_0_0,0.882208,0.167776,22.4953,23.5452
16,0_1_3,-1_0_0,0.879008,0.165888,23.7064,24.7513
16,0_1_3,-1_0_0,0.866592,0.166496,23.7876,24.8207
16,0_1_3,-1_0_0,0.875712,0.16384,23.7476,24.7871
16,0_1_3,-1_0_0,0.886496,0.166048,23.6306,24.6832
16,0_1_3,-1_0_0,0.87984,0.165536,23.1944,24.2398
16,0_1_3,-1_0_0,0.882304,0.175168,24.7247,25.7821
16,0_1_3,0_1_0,0.876768,0.171104,24.3324,25.3802
16,0_1_3,0_1_0,0.865472,0.169344,25.2447,26.2795
16,0_1_3,0_1_0,0.8848,0.17264,25.2508,26.3082
16,0_1_3,0_1_0,0.88976,0.173376,25.2159,26.279
16,0_1_3,0_1_0,0.886592,0.178112,25.942,27.0067
16,0_1_3,0_1_0,0.884544,0.171456,25.6729,26.7289
16,0_1_3,0_1_0,0.889664,0.174816,26.4085,27.473
16,0_1_3,0_1_0,0.881824,0.180512,26.4522,27.5145
16,0_1_3,0_1_0,0.892384,0.178208,27.5768,28.6474
16,0_1_3,0_1_0,0.888512,0.178784,27.2194,28.2867
16,-3_1_0,0_1_1,0.895456,0.178624,28.0414,29.1155
16,-3_1_0,0_1_1,0.88672,0.181888,28.2466,29.3152
16,-3_1_0,0_1_1,0.887712,0.17824,28.3119,29.3779
16,-3_1_0,0_1_1,0.889792,0.180256,28.4131,29.4832
16,-3_1_0,0_1_1,0.895744,0.184512,28.6127,29.693
16,-3_1_0,0_1_1,0.885184,0.185472,29.2017,30.2724
16,-3_1_0,0_1_1,0.894016,0.184288,28.8356,29.9139
16,-3_1_0,0_1_1,0.901984,0.183296,29.3373,30.4226
16,-3_1_0,0_1_1,0.89072,0.186208,29.7239,30.8008
16,-3_1_0,0_1_1,0.894304,0.186496,30.0717,31.1525
16,-3_1_0,1_0_0,0.895328,0.189056,30.2315,31.3158
16,-3_1_0,1_0_0,0.887936,0.184224,30.2936,31.3658
16,-3_1_0,1_0_0,0.895072,0.188384,30.7808,31.8643
16,-3_1_0,1_0_0,0.89456,0.194112,30.3351,31.4238
16,-3_1_0,1_0_0,0.893888,0.187424,30.8743,31.9556
16,-3_1_0,1_0_0,0.885664,0.188864,30.7156,31.7901
16,-3_1_0,1_0_0,0.895968,0.190464,31.6379,32.7243
16,-3_1_0,1_0_0,0.91888,0.194144,31.7876,32.9006
16,-3_1_0,1_0_0,0.886912,0.192064,31.67,32.749
16,-3_1_0,1_0_0,0.907936,0.192512,32.0588,33.1593
16,-3_1_0,-1_0_0,0.89568,0.195072,32.3584,33.4491
16,-3_1_0,-1_0_0,0.902464,0.19312,31.9718,33.0674
16,-3_1_0,-1_0_0,0.904864,0.198592,32.3356,33.439
16,-3_1_0,-1_0_0,0.895968,0.194656,33.1067,34.1973
16,-3_1_0,-1_0_0,0.895872,0.195808,33.5642,34.6558
16,-3_1_0,-1_0_0,0.907456,0.198272,33.7445,34.8502
16,-3_1_0,-1_0_0,0.898816,0.196608,33.6492,34.7447
16,-3_1_0,-1_0_0,0.900128,0.194688,33.3661,34.4609
16,-3_1_0,-1_0_0,0.89904,0.202816,33.0479,34.1498
16,-3_1_0,-1_0_0,0.901472,0.2,33.1973,34.2988
16,-3_1_0,0_1_0,0.900032,0.197376,33.4996,34.597
16,-3_1_0,0_1_0,0.90672,0.196608,33.366,34.4693
16,-3_1_0,0_1_0,0.90896,0.198624,33.746,34.8536
16,-3_1_0,0_1_0,0.9104,0.208992,34.3447,35.4641
16,-3_1_0,0_1_0,0.943104,0.222368,34.3846,35.5501
16,-3_1_0,0_1_0,0.952928,0.21728,35.4502,36.6204
16,-3_1_0,0_1_0,0.957184,0.216576,35.8408,37.0145
16,-3_1_0,0_1_0,0.945664,0.218496,35.3623,36.5265
16,-3_1_0,0_1_0,0.9304,0.210944,36.5888,37.7301
16,-3_1_0,0_1_0,0.945216,0.216768,37.592,38.754
16,3_1_0,0_1_1,0.949792,0.226816,35.1809,36.3575
16,3_1_0,0_1_1,0.958304,0.224512,35.4027,36.5855
16,3_1_0,0_1_1,0.927136,0.21696,34.9453,36.0894
16,3_1_0,0_1_1,0.938272,0.21232,34.71,35.8606
16,3_1_0,0_1_1,0.94256,0.219072,36.0729,37.2345
16,3_1_0,0_1_1,0.953184,0.223232,36.2764,37.4529
16,3_1_0,0_1_1,0.94672,0.228512,36.5492,37.7245
16,3_1_0,0_1_1,0.917888,0.214528,35.4996,36.632
16,3_1_0,0_1_1,0.926816,0.213184,36.5567,37.6967
16,3_1_0,0_1_1,0.966464,0.227968,36.6073,37.8017
