Resolution,Eye_Setting,Light_Setting,Transform_ms,Binning_ms,Raster_ms,Total_ms
16,0_1_3,0_1_1,0.933632,0.18688,22.0174,23.138
16,0_1_3,0_1_1,0.913536,0.143648,21.9085,22.9657
16,0_1_3,0_1_1,0.90832,0.14112,21.8177,22.8672
16,0_1_3,0_1_1,0.918496,0.137696,22.005,23.0612
16,0_1_3,0_1_1,0.948448,0.140448,22.1048,23.1937
16,0_1_3,0_1_1,0.91296,0.138848,21.9081,22.9599
16,0_1_3,0_1_1,0.909248,0.139264,21.9778,23.0263
16,0_1_3,0_1_1,0.950112,0.138272,21.9076,22.9959
16,0_1_3,0_1_1,0.908096,0.140736,22.1208,23.1696
16,0_1_3,0_1_1,0.921728,0.13696,21.8896,22.9483
16,0_1_3,1_0_0,0.933856,0.137056,22.0506,23.1215
16,0_1_3,1_0_0,0.939808,0.13888,21.99,23.0687
16,0_1_3,1_0_0,0.902016,0.14176,21.9235,22.9673
16,0_1_3,1_0_0,0.913792,0.141312,21.9761,23.0312
16,0_1_3,1_0_0,0.913568,0.140576,21.8916,22.9457
16,0_1_3,1_0_0,0.939552,0.139136,21.9591,23.0378
16,0_1_3,1_0_0,0.954528,0.140832,21.7852,22.8805
16,0_1_3,1_0_0,0.917152,0.139136,22.0395,23.0958
16,0_1_3,1_0_0,0.900928,0.136,21.6825,22.7194
16,0_1_3,1_0_0,0.906848,0.135808,21.7807,22.8234
16,0_1_3,-1_0_0,0.911456,0.13536,21.8989,22.9457
16,0_1_3,-1_0_0,0.877312,0.148864,26.9783,28.0045
16,0_1_3,-1_0_0,0.893248,0.145792,26.4731,27.5122
16,0_1_3,-1_0_0,0.873152,0.153152,27.5294,28.5557
16,0_1_3,-1_0_0,0.890784,0.151552,27.2463,28.2886
16,0_1_3,-1_0_0,0.881056,0.15136,28.1872,29.2196
16,0_1_3,-1_0_0,0.879296,0.149696,28.175,29.204
16,0_1_3,-1_0_0,0.885984,0.147552,28.124,29.1576
16,0_1_3,-1_0_0,0.883296,0.151584,28.9468,29.9817
16,0_1_3,-1_0_0,0.892128,0.152448,27.9762,29.0208
16,0_1_3,0_1_0,0.878592,0.14976,28.9585,29.9868
16,0_1_3,0_1_0,0.87376,0.151552,28.6585,29.6838
16,0_1_3,0_1_0,0.874592,0.15456,29.6787,30.7078
16,0_1_3,0_1_0,0.881472,0.157024,29.3088,30.3473
16,0_1_3,0_1_0,0.874112,0.155648,30.4607,31.4904
16,0_1_3,0_1_0,0.888768,0.155232,29.7184,30.7624
16,0_1_3,0_1_0,0.868416,0.156512,31.1005,32.1255
16,0_1_3,0_1_0,0.887968,0.158016,30.854,31.9
16,0_1_3,0_1_0,0.882368,0.154528,30.6516,31.6884
16,0_1_3,0_1_0,0.871168,0.15696,30.7324,31.7605
16,-3_1_0,0_1_1,0.879232,0.159264,33.2361,34.2746
16,-3_1_0,0_1_1,0.88416,0.158592,34.3959,35.4387
