Resolution,Eye_Setting,Light_Setting,Transform_ms,Binning_ms,Raster_ms,Total_ms
16,0_1_3,0_1_1,0.933984,0.29104,12.1072,13.3322
16,0_1_3,0_1_1,0.965216,0.322112,12.197,13.4843
16,0_1_3,0_1_1,0.924992,0.298688,12.3159,13.5396
16,0_1_3,0_1_1,0.928544,0.29168,12.1172,13.3374
16,0_1_3,0_1_1,0.930016,0.293088,12.0065,13.2296
16,0_1_3,0_1_1,0.945504,0.293824,12.0437,13.283
16,0_1_3,0_1_1,0.959232,0.292736,12.0985,13.3505
16,0_1_3,0_1_1,0.929952,0.288928,11.9714,13.1903
16,0_1_3,0_1_1,0.938784,0.287808,12.0734,13.3
16,0_1_3,0_1_1,0.923072,0.290208,11.9969,13.2101
16,0_1_3,1_0_0,0.930144,0.299392,12.1399,13.3694
16,0_1_3,1_0_0,0.94416,0.281952,11.9182,13.1444
16,0_1_3,1_0_0,0.944384,0.289248,11.9716,13.2052
16,0_1_3,1_0_0,0.937536,0.282624,12.051,13.2712
16,0_1_3,1_0_0,0.945504,0.28016,12.0474,13.2731
16,0_1_3,1_0_0,0.929728,0.295008,12.2584,13.4831
16,0_1_3,1_0_0,0.926464,0.290656,11.9878,13.2049
16,0_1_3,1_0_0,0.940416,0.285312,11.8611,13.0868
16,0_1_3,1_0_0,0.936192,0.284512,12.1446,13.3653
16,0_1_3,1_0_0,0.940768,0.281728,11.9778,13.2003
16,0_1_3,-1_0_0,0.942624,0.283968,11.9275,13.1541
16,0_1_3,-1_0_0,0.946976,0.285184,12.0421,13.2742
16,0_1_3,-1_0_0,0.922624,0.2824,12.0233,13.2283
16,0_1_3,-1_0_0,0.908928,0.321312,18.5512,19.7814
16,0_1_3,-1_0_0,0.910208,0.323808,18.4823,19.7164
16,0_1_3,-1_0_0,0.904608,0.334176,19.3388,20.5775
16,0_1_3,-1_0_0,0.924064,0.346112,19.186,20.4562
16,0_1_3,-1_0_0,0.9,0.3272,19.3624,20.5896
16,0_1_3,-1_0_0,0.908864,0.348576,20.146,21.4035
16,0_1_3,-1_0_0,0.907328,0.337536,19.9084,21.1532
16,0_1_3,0_1_0,0.902368,0.334368,20.6466,21.8834
16,0_1_3,0_1_0,0.914496,0.334112,20.5243,21.7729
16,0_1_3,0_1_0,0.899296,0.344096,20.9863,22.2297
16,0_1_3,0_1_0,0.907328,0.341408,21.224,22.4727
16,0_1_3,0_1_0,0.928128,0.35104,21.5136,22.7927
16,0_1_3,0_1_0,0.89936,0.340512,21.7205,22.9604
16,0_1_3,0_1_0,0.905344,0.339936,21.7666,23.0119
16,0_1_3,0_1_0,0.9072,0.342624,22.3737,23.6235
16,0_1_3,0_1_0,0.903392,0.342016,22.3635,23.6089
16,0_1_3,0_1_0,0.902176,0.348128,22.1883,23.4386
16,-3_1_0,0_1_1,0.920672,0.341792,22.3239,23.5864
16,-3_1_0,0_1_1,0.916384,0.346144,22.8821,24.1446
16,-3_1_0,0_1_1,0.920128,0.344384,23.2621,24.5267
16,-3_1_0,0_1_1,0.921568,0.34816,23.1546,24.4243
16,-3_1_0,0_1_1,0.917376,0.349792,23.7085,24.9756
16,-3_1_0,0_1_1,0.930784,0.34928,24.1116,25.3916
16,-3_1_0,0_1_1,0.928864,0.348544,23.6812,24.9586
16,-3_1_0,0_1_1,0.927744,0.3512,24.1565,25.4354
16,-3_1_0,0_1_1,0.936256,0.354304,24.3676,25.6582
16,-3_1_0,0_1_1,0.934048,0.356064,24.8883,26.1784
16,-3_1_0,1_0_0,0.93216,0.35248,24.6828,25.9674
16,-3_1_0,1_0_0,0.939328,0.354336,25.347,26.6406
16,-3_1_0,1_0_0,0.942432,0.362752,25.3629,26.6681
16,-3_1_0,1_0_0,0.934944,0.36016,25.3662,26.6613
16,-3_1_0,1_0_0,0.931584,0.357536,25.3877,26.6768
16,-3_1_0,1_0_0,0.93632,0.364032,25.5942,26.8945
16,-3_1_0,1_0_0,0.931808,0.362496,25.1827,26.477
16,-3_1_0,1_0_0,0.937984,0.360448,25.278,26.5764
16,-3_1_0,1_0_0,0.934144,0.360416,25.5596,26.8542
16,-3_1_0,1_0_0,0.940032,0.368768,25.059,26.3678
16,-3_1_0,-1_0_0,0.95184,0.356352,25.8198,27.128
16,-3_1_0,-1_0_0,0.936096,0.358144,25.582,26.8763
16,-3_1_0,-1_0_0,0.965632,0.362592,25.4937,26.8219
16,-3_1_0,-1_0_0,0.936192,0.37712,25.6626,26.9759
16,-3_1_0,-1_0_0,0.94448,0.367392,25.2725,26.5844
16,-3_1_0,-1_0_0,0.938912,0.382336,25.3368,26.6581
16,-3_1_0,-1_0_0,0.937888,0.360448,25.0161,26.3144
16,-3_1_0,-1_0_0,0.925344,0.362464,25.7221,27.01
16,-3_1_0,-1_0_0,0.936256,0.358752,25.765,27.06
16,-3_1_0,-1_0_0,0.945696,0.361888,25.2894,26.597
16,-3_1_0,0_1_0,0.972992,0.4392,25.8856,27.2978
16,-3_1_0,0_1_0,0.96016,0.426944,25.655,27.0421
16,-3_1_0,0_1_0,0.955776,0.443616,25.7452,27.1446
16,-3_1_0,0_1_0,0.942688,0.400224,25.5675,26.9104
16,-3_1_0,0_1_0,0.94592,0.397344,26.0731,27.4164
16,-3_1_0,0_1_0,0.956512,0.406048,25.638,27.0006
16,-3_1_0,0_1_0,0.949536,0.370944,25.1444,26.4649
16,-3_1_0,0_1_0,0.94576,0.417824,25.3152,26.6788
16,-3_1_0,0_1_0,0.937728,0.372192,25.3256,26.6355
16,-3_1_0,0_1_0,0.959264,0.421888,25.4903,26.8715
16,3_1_0,0_1_1,0.95616,0.403456,24.4317,25.7913
16,3_1_0,0_1_1,0.960896,0.484864,24.8097,26.2555
