Resolution,Eye_Setting,Light_Setting,Transform_ms,Binning_ms,Raster_ms,Total_ms
16,0_1_3,0_1_1,0.93664,0.401888,14.3025,15.641
16,0_1_3,0_1_1,0.932768,0.39664,14.1911,15.5205
16,0_1_3,0_1_1,0.95264,0.427776,14.0833,15.4637
16,0_1_3,0_1_1,0.914016,0.420608,14.1722,15.5068
16,0_1_3,0_1_1,0.935392,0.39312,14.1913,15.5198
16,0_1_3,0_1_1,0.94016,0.397248,14.1693,15.5068
16,0_1_3,0_1_1,0.931168,0.395584,14.0991,15.4258
16,0_1_3,0_1_1,0.911264,0.391424,14.3312,15.6339
16,0_1_3,0_1_1,0.930208,0.39936,14.4469,15.7764
16,0_1_3,0_1_1,0.951648,0.405248,14.2768,15.6337
16,0_1_3,1_0_0,0.94944,0.395584,14.4585,15.8036
16,0_1_3,1_0_0,0.943904,0.402976,14.2538,15.6007
16,0_1_3,1_0_0,0.949984,0.394944,14.1647,15.5097
16,0_1_3,1_0_0,0.92768,0.407584,14.0845,15.4198
16,0_1_3,1_0_0,0.933472,0.393216,13.9899,15.3166
16,0_1_3,1_0_0,0.929056,0.399232,14.36,15.6883
16,0_1_3,1_0_0,0.946848,0.399296,14.1907,15.5368
16,0_1_3,1_0_0,0.932992,0.409792,14.4148,15.7576
16,0_1_3,1_0_0,0.93056,0.409856,14.3038,15.6442
16,0_1_3,1_0_0,0.95136,0.401248,14.3149,15.6676
16,0_1_3,-1_0_0,0.934976,0.40608,19.3511,20.6922
16,0_1_3,-1_0_0,0.89888,0.483008,22.4566,23.8385
16,0_1_3,-1_0_0,0.913792,0.4408,22.4043,23.7589
16,0_1_3,-1_0_0,0.899648,0.446144,22.9109,24.2567
16,0_1_3,-1_0_0,0.921216,0.45056,22.9043,24.276
16,0_1_3,-1_0_0,0.9128,0.452576,23.514,24.8794
16,0_1_3,-1_0_0,0.900128,0.447648,23.6022,24.95
16,0_1_3,-1_0_0,0.901184,0.479136,24.1587,25.539
16,0_1_3,-1_0_0,0.895456,0.4424,24.3409,25.6787
16,0_1_3,-1_0_0,0.905376,0.452,25.1132,26.4706
16,0_1_3,0_1_0,0.909536,0.457632,25.0746,26.4418
16,0_1_3,0_1_0,0.903296,0.466912,26.0319,27.4021
16,0_1_3,0_1_0,0.906496,0.463072,25.9167,27.2863
16,0_1_3,0_1_0,0.91776,0.464544,26.7155,28.0978
16,0_1_3,0_1_0,0.932864,0.571392,26.9366,28.4408
16,0_1_3,0_1_0,0.90896,0.473824,27.5667,28.9495
16,0_1_3,0_1_0,0.92928,0.483488,28.354,29.7667
16,0_1_3,0_1_0,0.922496,0.481248,27.8856,29.2894
16,0_1_3,0_1_0,0.944096,0.496576,28.0199,29.4605
16,0_1_3,0_1_0,0.906144,0.483584,28.546,29.9357
16,-3_1_0,0_1_1,0.935808,0.510272,28.042,29.488
16,-3_1_0,0_1_1,0.9352,0.508576,28.4372,29.881
16,-3_1_0,0_1_1,0.93152,0.50736,29.0034,30.4422
16,-3_1_0,0_1_1,0.92624,0.498432,28.7651,30.1897
16,-3_1_0,0_1_1,0.936896,0.475136,29.9366,31.3487
16,-3_1_0,0_1_1,0.924864,0.481312,29.8429,31.2491
16,-3_1_0,0_1_1,0.944704,0.496736,30.7834,32.2249
16,-3_1_0,0_1_1,0.926016,0.475136,29.902,31.3031
16,-3_1_0,0_1_1,0.928608,0.482816,31.0116,32.423
16,-3_1_0,0_1_1,0.950464,0.514048,31.665,33.1295
16,-3_1_0,1_0_0,0.941632,0.494464,31.6634,33.0995
16,-3_1_0,1_0_0,0.938848,0.518144,32.034,33.491
16,-3_1_0,1_0_0,0.95472,0.516096,33.0824,34.5532
16,-3_1_0,1_0_0,0.938304,0.52144,32.3304,33.7901
16,-3_1_0,1_0_0,0.955936,0.495296,32.5834,34.0346
16,-3_1_0,1_0_0,0.952384,0.493184,32.1369,33.5825
16,-3_1_0,1_0_0,0.956864,0.51408,32.3106,33.7816
16,-3_1_0,1_0_0,0.951904,0.506912,31.8405,33.2993
16,-3_1_0,1_0_0,0.95904,0.487232,32.033,33.4792
16,-3_1_0,1_0_0,0.930912,0.515424,32.1483,33.5946
16,-3_1_0,-1_0_0,0.9472,0.49152,32.1961,33.6348
16,-3_1_0,-1_0_0,0.956448,0.524992,32.3446,33.826
16,-3_1_0,-1_0_0,0.957728,0.539744,32.2666,33.7641
16,-3_1_0,-1_0_0,0.93024,0.482528,32.3414,33.7542
16,-3_1_0,-1_0_0,0.961184,0.523168,32.8323,34.3166
16,-3_1_0,-1_0_0,0.957504,0.521856,32.833,34.3123
16,-3_1_0,-1_0_0,0.955456,0.513152,32.1136,33.5822
16,-3_1_0,-1_0_0,0.958688,0.528,31.9134,33.4001
16,-3_1_0,-1_0_0,0.949856,0.496,32.8754,34.3212
16,-3_1_0,-1_0_0,0.941664,0.478848,32.2702,33.6907
16,-3_1_0,0_1_0,0.952352,0.487424,32.33,33.7698
16,-3_1_0,0_1_0,0.931872,0.485312,32.2784,33.6956
16,-3_1_0,0_1_0,0.950496,0.489408,32.6427,34.0826
16,-3_1_0,0_1_0,0.937376,0.489472,32.0137,33.4405
16,-3_1_0,0_1_0,0.960608,0.51344,31.97,33.444
16,-3_1_0,0_1_0,0.946272,0.545824,32.9904,34.4825
16,-3_1_0,0_1_0,0.93856,0.495968,32.0247,33.4593
16,-3_1_0,0_1_0,0.95872,0.538016,32.0825,33.5792
16,-3_1_0,0_1_0,0.966656,0.521216,32.3494,33.8372
16,-3_1_0,0_1_0,0.948256,0.522624,32.0859,33.5568
16,3_1_0,0_1_1,0.976928,0.52224,31.181,32.6801
16,3_1_0,0_1_1,0.939744,0.492096,31.1787,32.6106
16,3_1_0,0_1_1,0.96624,0.51664,30.8391,32.322
16,3_1_0,0_1_1,0.991936,0.533152,30.854,32.379
16,3_1_0,0_1_1,0.936608,0.49056,30.7515,32.1786
16,3_1_0,0_1_1,0.929952,0.495616,31.1011,32.5267
16,3_1_0,0_1_1,0.945312,0.527744,31.1147,32.5877
16,3_1_0,0_1_1,0.944352,0.501856,30.806,32.2523
16,3_1_0,0_1_1,0.974528,0.5104,31.0178,32.5027
16,3_1_0,0_1_1,0.968448,0.497696,30.9117,32.3779
16,3_1_0,1_0_0,0.959968,0.516032,30.7208,32.1968
16,3_1_0,1_0_0,0.96064,0.529568,30.6658,32.156
16,3_1_0,1_0_0,0.94832,0.497728,31.0584,32.5044
16,3_1_0,1_0_0,0.971392,0.547936,31.1597,32.6791
16,3_1_0,1_0_0,0.947552,0.5312,31.1204,32.5991
16,3_1_0,1_0_0,0.969952,0.520192,30.8326,32.3227
16,3_1_0,1_0_0,0.96224,0.509856,31.2637,32.7358
16,3_1_0,1_0_0,0.93824,0.5464,30.7518,32.2364
16,3_1_0,1_0_0,0.95424,0.526272,31.062,32.5425
16,3_1_0,1_0_0,0.964128,0.48944,31.1947,32.6483
16,3_1_0,-1_0_0,0.944096,0.496768,31.6019,33.0428
16,3_1_0,-1_0_0,0.96496,0.491744,30.7642,32.2209
16,3_1_0,-1_0_0,0.949728,0.517792,30.673,32.1405
16,3_1_0,-1_0_0,0.960736,0.598048,31.0617,32.6204
16,3_1_0,-1_0_0,0.974432,0.534304,30.8357,32.3444
16,3_1_0,-1_0_0,0.952384,0.536448,30.9849,32.4738
16,3_1_0,-1_0_0,0.95648,0.50576,30.9481,32.4103
16,3_1_0,-1_0_0,0.968544,0.518144,30.7966,32.2833
16,3_1_0,-1_0_0,0.938304,0.54256,31.0389,32.5197
16,3_1_0,-1_0_0,0.943328,0.490496,31.1934,32.6272
16,3_1_0,0_1_0,0.930912,0.495744,31.4219,32.8485
16,3_1_0,0_1_0,0.941216,0.48544,30.7331,32.1597
16,3_1_0,0_1_0,0.939392,0.48128,31.0696,32.4903
16,3_1_0,0_1_0,0.95616,0.512992,31.2202,32.6893
16,3_1_0,0_1_0,0.948864,0.513312,31.082,32.5441
16,3_1_0,0_1_0,0.947744,0.484608,31.2274,32.6598
16,3_1_0,0_1_0,0.965632,0.487232,30.8214,32.2743
16,3_1_0,0_1_0,0.938688,0.491552,30.7843,32.2146
16,3_1_0,0_1_0,0.9336,0.481312,30.925,32.3399
16,3_1_0,0_1_0,0.956096,0.520096,30.7399,32.2161
16,0_4_0,0_1_1,0.957088,0.425984,40.4124,41.7955
16,0_4_0,0_1_1,0.948384,0.37408,40.3038,41.6263
16,0_4_0,0_1_1,0.945088,0.389216,40.3752,41.7095
16,0_4_0,0_1_1,0.95024,0.403456,40.6122,41.9659
16,0_4_0,0_1_1,0.94448,0.3832,40.3619,41.6895
16,0_4_0,0_1_1,0.947968,0.365536,40.425,41.7385
16,0_4_0,0_1_1,0.940768,0.391008,39.9265,41.2583
16,0_4_0,0_1_1,0.945728,0.392384,39.8728,41.2109
16,0_4_0,0_1_1,0.955296,0.385216,40.0415,41.382
16,0_4_0,0_1_1,0.967072,0.371168,40.594,41.9323
16,0_4_0,1_0_0,0.965312,0.43008,40.7923,42.1877
16,0_4_0,1_0_0,0.94336,0.372768,40.1567,41.4728
16,0_4_0,1_0_0,0.947872,0.385056,39.8887,41.2216
16,0_4_0,1_0_0,0.962048,0.377312,39.8625,41.2018
16,0_4_0,1_0_0,0.937888,0.362592,39.8959,41.1964
16,0_4_0,1_0_0,0.955168,0.36688,40.4704,41.7924
16,0_4_0,1_0_0,0.947168,0.366816,40.0186,41.3326
16,0_4_0,1_0_0,0.95408,0.374976,40.0759,41.405
16,0_4_0,1_0_0,0.942784,0.366112,40.5127,41.8216
16,0_4_0,1_0_0,0.96176,0.389952,40.1047,41.4564
16,0_4_0,-1_0_0,0.957696,0.366592,39.7171,41.0413
16,0_4_0,-1_0_0,0.962144,0.362944,40.0325,41.3576
16,0_4_0,-1_0_0,0.954816,0.407968,40.6581,42.0209
16,0_4_0,-1_0_0,0.937216,0.364544,40.7517,42.0535
16,0_4_0,-1_0_0,0.963072,0.368,40.17,41.5011
16,0_4_0,-1_0_0,0.942848,0.368608,40.2783,41.5898
16,0_4_0,-1_0_0,0.95936,0.384512,39.9639,41.3077
16,0_4_0,-1_0_0,0.954432,0.395424,40.1785,41.5284
16,0_4_0,-1_0_0,0.963776,0.403456,39.9483,41.3155
16,0_4_0,-1_0_0,0.971136,0.393312,40.0351,41.3996
16,0_4_0,0_1_0,0.964416,0.389504,40.184,41.5379
16,0_4_0,0_1_0,0.969312,0.4024,39.8378,41.2095
16,0_4_0,0_1_0,0.971392,0.436224,40.5703,41.978
16,0_4_0,0_1_0,0.97728,0.452608,40.8933,42.3232
16,0_4_0,0_1_0,0.971616,0.438368,40.5112,41.9212
16,0_4_0,0_1_0,0.960672,0.40752,40.3784,41.7466
16,0_4_0,0_1_0,0.974528,0.43216,41.3187,42.7253
16,0_4_0,0_1_0,0.961888,0.388704,40.2142,41.5648
16,0_4_0,0_1_0,0.947968,0.41232,40.1645,41.5248
16,0_4_0,0_1_0,0.951712,0.405216,39.8484,41.2053
16,2_2_2,0_1_1,0.92704,0.415232,35.2294,36.5717
16,2_2_2,0_1_1,0.961312,0.39952,35.2436,36.6044
16,2_2_2,0_1_1,0.927744,0.362464,35.2706,36.5608
16,2_2_2,0_1_1,0.932992,0.385024,35.4471,36.7651
16,2_2_2,0_1_1,0.926048,0.354592,36.3215,37.6021
16,2_2_2,0_1_1,0.96064,0.439712,35.5493,36.9497
16,2_2_2,0_1_1,0.94608,0.414144,35.6113,36.9716
16,2_2_2,0_1_1,0.943008,0.416032,35.4951,36.8541
16,2_2_2,0_1_1,0.941952,0.389152,35.8549,37.186
16,2_2_2,0_1_1,0.944,0.414688,36.1054,37.4641
16,2_2_2,1_0_0,0.939136,0.38464,35.3172,36.641
