Resolution,Eye_Setting,Light_Setting,Transform_ms,Binning_ms,Raster_ms,Total_ms
16,0_1_3,0_1_1,1.75616,0.35584,16.5128,18.6248
16,0_1_3,0_1_1,0.909152,0.221216,16.5226,17.6529
16,0_1_3,0_1_1,0.893344,0.213152,16.2552,17.3617
16,0_1_3,0_1_1,0.897824,0.206336,16.3593,17.4635
16,0_1_3,0_1_1,0.892576,0.208928,16.3518,17.4533
16,0_1_3,0_1_1,0.891168,0.208736,16.3664,17.4663
16,0_1_3,0_1_1,0.88864,0.20688,16.3482,17.4437
16,0_1_3,0_1_1,0.894496,0.206016,16.23,17.3305
16,0_1_3,0_1_1,0.885216,0.204576,16.2441,17.3339
16,0_1_3,0_1_1,0.886464,0.208096,16.388,17.4826
16,0_1_3,1_0_0,0.89776,0.208,16.3467,17.4524
16,0_1_3,1_0_0,0.893824,0.206208,16.3162,17.4162
16,0_1_3,1_0_0,0.899424,0.212192,16.454,17.5656
16,0_1_3,1_0_0,0.894304,0.210944,16.2734,17.3787
16,0_1_3,1_0_0,0.895968,0.206816,16.4012,17.5039
16,0_1_3,1_0_0,0.892608,0.204832,16.3059,17.4033
16,0_1_3,1_0_0,0.891872,0.206592,16.3782,17.4766
16,0_1_3,1_0_0,0.893344,0.206848,16.3102,17.4104
16,0_1_3,1_0_0,0.889536,0.205344,16.3048,17.3997
16,0_1_3,1_0_0,0.889856,0.204832,16.2872,17.3819
16,0_1_3,-1_0_0,1.29629,0.257056,16.5196,18.0729
16,0_1_3,-1_0_0,0.897792,0.21376,16.4073,17.5189
16,0_1_3,-1_0_0,0.894016,0.205504,16.2524,17.3519
16,0_1_3,-1_0_0,0.892576,0.250016,22.1129,23.2555
16,0_1_3,-1_0_0,0.906976,0.262176,22.1045,23.2737
16,0_1_3,-1_0_0,0.922144,0.264256,23.1118,24.2982
16,0_1_3,-1_0_0,0.913344,0.264864,23.0788,24.257
16,0_1_3,-1_0_0,0.914432,0.263232,23.1035,24.2812
16,0_1_3,-1_0_0,0.9264,0.26256,23.6582,24.8472
16,0_1_3,-1_0_0,0.915936,0.260096,23.577,24.7531
