Resolution,Eye_Setting,Light_Setting,Transform_ms,Binning_ms,Raster_ms,Total_ms
16,0_1_3,0_1_1,0.942816,0.156608,13.4578,14.5572
16,0_1_3,0_1_1,0.934304,0.149248,13.4672,14.5508
16,0_1_3,0_1_1,0.925792,0.14768,13.4045,14.478
16,0_1_3,0_1_1,0.918464,0.162464,13.3347,14.4156
16,0_1_3,0_1_1,0.927584,0.1536,13.4321,14.5133
16,0_1_3,0_1_1,0.939136,0.149344,13.2783,14.3668
16,0_1_3,0_1_1,0.924448,0.147296,13.4244,14.4961
16,0_1_3,0_1_1,0.939552,0.145728,13.5865,14.6718
16,0_1_3,0_1_1,0.932896,0.14752,13.2451,14.3255
16,0_1_3,0_1_1,0.921344,0.149376,13.5242,14.5949
16,0_1_3,1_0_0,0.922656,0.14448,13.1599,14.227
16,0_1_3,1_0_0,0.932096,0.146912,13.4796,14.5586
16,0_1_3,1_0_0,0.93136,0.147552,13.4436,14.5226
16,0_1_3,1_0_0,0.926304,0.151168,13.4434,14.5209
16,0_1_3,1_0_0,0.915456,0.149888,13.1839,14.2492
16,0_1_3,1_0_0,0.933824,0.148832,13.3476,14.4303
16,0_1_3,1_0_0,0.934656,0.147808,13.2088,14.2913
16,0_1_3,1_0_0,0.922656,0.146304,13.2583,14.3273
16,0_1_3,1_0_0,0.93376,0.145312,13.4034,14.4825
16,0_1_3,1_0_0,0.946496,0.147456,13.4432,14.5371
16,0_1_3,-1_0_0,0.936032,0.14352,13.3852,14.4648
16,0_1_3,-1_0_0,0.961696,0.145248,13.5226,14.6295
16,0_1_3,-1_0_0,0.945376,0.141024,13.3843,14.4707
16,0_1_3,-1_0_0,0.890368,0.180256,20.1976,21.2682
16,0_1_3,-1_0_0,0.891008,0.176192,20.5472,21.6144
16,0_1_3,-1_0_0,0.90368,0.182176,20.96,22.0459
16,0_1_3,-1_0_0,0.909536,0.185376,20.9268,22.0217
16,0_1_3,-1_0_0,0.90912,0.180256,21.0435,22.1328
16,0_1_3,-1_0_0,0.907424,0.180768,21.3607,22.4489
16,0_1_3,-1_0_0,0.887936,0.187904,21.2314,22.3072
16,0_1_3,0_1_0,0.885632,0.189824,22.0105,23.086
16,0_1_3,0_1_0,0.8952,0.185344,22.1837,23.2643
16,0_1_3,0_1_0,0.89568,0.186304,22.4721,23.5541
16,0_1_3,0_1_0,0.888896,0.19328,22.9828,24.0649
16,0_1_3,0_1_0,0.892416,0.188928,22.7119,23.7933
16,0_1_3,0_1_0,0.90416,0.194528,23.3983,24.497
16,0_1_3,0_1_0,0.89184,0.197824,23.3158,24.4055
16,0_1_3,0_1_0,0.886144,0.198592,24.0471,25.1318
16,0_1_3,0_1_0,0.890848,0.199744,24.4305,25.5211
16,0_1_3,0_1_0,0.890272,0.193376,25.0127,26.0963
16,-3_1_0,0_1_1,0.888512,0.199168,25.0166,26.1043
16,-3_1_0,0_1_1,0.894528,0.199456,25.1197,26.2137
16,-3_1_0,0_1_1,0.898752,0.198304,24.8294,25.9265
16,-3_1_0,0_1_1,0.897344,0.200096,25.0851,26.1826
16,-3_1_0,0_1_1,0.90656,0.201184,26.4045,27.5122
16,-3_1_0,0_1_1,0.899328,0.202784,26.4128,27.5149
16,-3_1_0,0_1_1,0.903776,0.204256,26.4334,27.5414
16,-3_1_0,0_1_1,0.902496,0.202528,26.1874,27.2924
16,-3_1_0,0_1_1,0.907552,0.204256,27.0428,28.1546
16,-3_1_0,0_1_1,0.904096,0.206912,26.8292,27.9402
16,-3_1_0,1_0_0,0.908512,0.206944,27.3826,28.498
16,-3_1_0,1_0_0,0.909952,0.20816,28.0133,29.1315
16,-3_1_0,1_0_0,0.915872,0.20912,27.7416,28.8666
16,-3_1_0,1_0_0,0.902304,0.21232,28.1933,29.3079
16,-3_1_0,1_0_0,0.913024,0.213696,28.5736,29.7004
16,-3_1_0,1_0_0,0.912864,0.2136,29.0225,30.1489
16,-3_1_0,1_0_0,0.906016,0.213408,29.1614,30.2808
16,-3_1_0,1_0_0,0.910048,0.217152,29.16,30.2872
16,-3_1_0,1_0_0,0.916544,0.216064,29.4165,30.5491
16,-3_1_0,1_0_0,0.921056,0.21712,29.8849,31.0231
16,-3_1_0,-1_0_0,0.915136,0.217088,29.2516,30.3838
16,-3_1_0,-1_0_0,0.926912,0.217376,30.0056,31.1499
16,-3_1_0,-1_0_0,0.923552,0.22064,30.3441,31.4883
